,img,type,label,confidence
383,img_00038,Text,o0,50.48810958862305
384,img_00040,Text,i,66.01785278320312
385,img_00040,Text,i,66.01785278320312
386,img_00041,Label,Human,98.56351470947266
387,img_00041,Label,People,98.5634765625
388,img_00041,Label,Person,98.56351470947266
389,img_00041,Text,marley,86.80440521240234
390,img_00041,Text,ernariey,75.2109603881836
391,img_00041,Text,lord the is...ok. iguess. ut not,82.34364318847656
392,img_00041,Text,rings,90.86784362792969
393,img_00041,Text,enough women,82.57491302490234
394,img_00041,Text,marley,86.80440521240234
395,img_00041,Text,ernariey,75.2109603881836
396,img_00041,Text,lord,83.50780487060547
397,img_00041,Text,the,81.33590698242188
398,img_00041,Text,rings,90.86784362792969
399,img_00041,Text,is...ok.,78.229736328125
400,img_00041,Text,iguess.,86.9190902709961
401,img_00041,Text,ut not,81.72567749023438
402,img_00041,Text,enough women,82.57491302490234
403,img_00042,Label,Human,99.27791595458984
404,img_00042,Label,People,99.27791595458984
405,img_00042,Label,Person,99.27791595458984
406,img_00042,Celebrity,Katharine McPhee,99.4491195678711
407,img_00043,Label,Human,99.1772232055664
408,img_00043,Label,People,99.1772232055664
409,img_00043,Label,Person,99.1772232055664
410,img_00043,Label,Clothing,90.16092681884766
411,img_00043,Label,Coat,90.16092681884766
412,img_00043,Label,Overcoat,90.16092681884766
413,img_00043,Label,Suit,90.16092681884766
414,img_00043,Label,Tuxedo,90.16092681884766
415,img_00043,Celebrity,Heather MacRae,99.99993896484375
416,img_00043,Celebrity,Cas Spijkers,99.99851989746094
417,img_00043,Text,D,52.643585205078125
418,img_00043,Text,D,52.643585205078125
419,img_00044,Label,Human,99.22602844238281
420,img_00044,Label,People,99.22601318359375
421,img_00044,Label,Person,99.22602844238281
422,img_00044,Celebrity,Lars von Trier,99.8966064453125
423,img_00047,Label,Human,99.26824188232422
424,img_00047,Label,People,99.26824188232422
425,img_00047,Label,Person,99.26824188232422
426,img_00047,Celebrity,Sarah Gadon,99.977783203125
427,img_00047,Celebrity,Sarah Gadon,99.97456359863281
428,img_00048,Label,Human,99.28617858886719
429,img_00048,Label,People,99.28617858886719
430,img_00048,Label,Person,99.28617858886719
431,img_00048,Label,Back,94.10603332519531
432,img_00049,Label,Human,98.82357025146484
433,img_00049,Label,People,98.82353210449219
434,img_00049,Label,Person,98.82357025146484
435,img_00049,Label,Face,80.80647277832031
436,img_00049,Label,Portrait,80.80647277832031
437,img_00049,Label,Smile,76.03385162353516
438,img_00050,Label,Human,99.18167114257812
439,img_00050,Label,People,99.18165588378906
440,img_00050,Label,Person,99.18167114257812
441,img_00050,Label,Astronomy,89.97323608398438
442,img_00050,Label,Face,78.47244262695312
443,img_00050,Label,Portrait,78.47244262695312
444,img_00050,Celebrity,Aly Raisman,99.99989318847656
